Column1,short_description
466,औरत चुपचाप सब नह देख वो बदलाव हिस्स बन वो कभ शांत प्रदर्शनकार कभ सरकार लोह ले पुलिस लाठ मुक़ाबल 
376,बूम पाय दिल्ल प्रदेश कांग्रेस कमिट के सदस्य मध्य प्रदेश उत्तर प्रदेश पैदल मज़दूर के 
9,दाव वायरल ब्रिटेन के प्रधानमंत्र किसान आंदोलन के कारण भारत दौर रद्द किय 
308,बूम पाय तस्वीर 2017 टाइम्स ऑफ़ इंडिय के लेख छप लेखक बूम बत भागलपुर के समीप खींच 
299,9 साल पुरा तस्वीर फ़र्ज़ दाव के वायरल कंकाल भीम के बेट घटोत्कच 
483,बूम पत लग वायरल तस्वीर दिख रह बच्च अनेनसेफ़ैल नामक बर्थ डिफ़ेक्ट के पैद इसक काल जाद 
317,बूम ज्योत पासवान बात पाय स्वस्थ ज़िल रह वाल पासवान हमनाम मृत्य कथित तौर 
721,बूम पाय ख़बर के दिय गय लिंक फ़र्ज़ वेबसाइट ले 
670,बूम पाय वीडिय मूल रूप 2017 असम के अमचंग वन क्षेत्र वन बेदखल अभियान है। 
644,बूम आपक ऐस पांच उदाहरण ले आय जैस दिख वाल तस्वीर इस्तेमाल ग़लत सूच फैल के लिय किय गय 
686,बूम पाय महिल पहचान अमरत शहजाद के रुप मुस्लिम पाकिस्तान के शाहपुर भंगुक निवास 
192,वायरल तस्वीर लखनऊ 2018 सहायक शिक्षक भर् के विरोध प्रदर्शन ना युव द्वार नौकर मांग 
64,औरंगाबाद सिट औरंगाबाद ज़िल नय नाम रख बहस जब-तब उठ खड़ 
641,बूम पाय तस्वीर 2008 जिसम नेपाल पुलिस तिब्ब निर्वासित व्यक्त के झड़प दर्श है। 
541,छठ पर्व केवल बिहार पूर्व उत्तर प्रदेश सीमित नह रह गय शनिवार सुबह उग सूर्य अर्घ्य दे संपन्न छठ 
438,वायरल पोस्ट दाव केरल दलित महिल मुस्लिम ईसाईय इसल हमल दिय क्यूंक वो पूज रह 
331,कश्मीर रह वाल पाकिस्ता महिल अक्सर अप अधिकार के प्रदर्शन अप आवाज़ उठ के उनम राजनीत आ 
539,छठ पूज पर्व शनिवार सुबह उग सूर्य अर्घ्य दे संपन्न पूज के आखिर दिन घाट श्रद्धाल भीड़ जुट 
34,दाव दिल्ल पुलिस के पुलिसकर्म कार मुस्लिम युवक बाइक लग पुलिसकर्म उसक माँ गोल चल दी। 
54,दाव किसान आंदोलन दिल्ल चल मार्च के कारण राष्ट्रिय राजधा 80 किलोमीटर लम्ब जाम लग 
491,बूम पाय ग्राफिक प्रैंक जनरेटर ऐप के बन गय गल घूम शेर तस्वीर पुरा असंबंधित है। 
408,बूम पड़ताल साम आय वायरल तस्वीर जुल 2019 इंटरनेट मौजूद इनक शराब दुकान के खुल 
78,सुप्रीम कोर्ट कह किसान के मुद्द हल निकाल के बन कमेट मही के अप रिपोर्ट अदालत के साम पेश 
461,बूम पाय युवक - दिलशाद अल - स्वस्थ सिलसिल पुलिस तीन हमलावर गिरफ़्तार लिय 
746,फ़र्ज़ पोस्ट आरोप लग लक्ष्म विलास बैंक अप शाख दी 
443,वीडिय अर्नब गोस्वाम उनक पत् समयाब्र रे गोस्वाम कथित हमल के बन गय 
582,बूम जांच पत चल दाव वाल पोस्ट जामिय के घायल प्रदर्शकार चोट दिख के केचप 
685,बूम इंटरनेट वीडिय पत लग पाय वीडिय नागरिक संशोधन बिल पारित पहल जनवर 2019 है। 
198,रमेश पोखरियाल निशंक गुरुवार 31 दिसंबर दसव बारहव बोर्ड परीक्ष तारीख़ ऐलान किय 
360,बूम स्कूल बोर्ड मेंबर ले वाईस चेयरमैन बात पाय दाव फ़र्ज़ 
66,केंद्र सरकार के नए कृष क़ानून के ख़िलाफ़ जार किसान के प्रदर्शन सुरक्षाबल कार्यव कनाड प्रधानमंत्र 
350,कोरो वैक्सीन टीक भारत लोग प्रक्रिय के कैस लग जाएग ले केंद्र सरकार दिशानिर्देश जार दिए 
209,आख़िर ऐस क्य कृष पंजाब उत्तर प्रदेश अधिक भागीदार वाल राज्य बिहार किसान नह क्य कृष सब बढ़िय चल रह 
138,भारत चीन के वास्तविक नियंत्रण रेख चल रह सीम विवाद के चीन भारत अप घरेल मसल ज़्याद ध्यान दे नसीहत दी 
690,सऊद अरब के नए बैंक नोट छप अंतरराष्ट्रीय सीम भारत सुधार के कह देश-दुनिय बड़ ख़बर लाइव अपडेट देख 
473,वायरल वीडिय दाव किय गय इंदौर पुलिस 1 अप्रैल डॉक्टर्स टीम पथराव वाल पिट बूम 
450,हरियाण के गृह मंत्र अनिज विज को-वैक्सीन ले के कैस कोरो पॉज़ीटिव 
295,कोरो वायरस ले शुरुआत अलग-अलग बात कह रह थीं लोग महज़ नजल किस्म बत खारिज रह 
756,मिसाइल 400 किलोमीटर ज़्याद मार सक 
637,हैदराबाद ऐस छुप रूस्तम टीम आराम देख देख चैंपियन बन दावेदार मुंबई दिल्ल बैंगलोर मात दे दी 
404,साहित्यकार आनंद स्वरूप वर्म बीबीस बत मंगलेश डबराल दिल्ल के एम्स अस्पताल बुधवार देर शाम आख़िर सांस ली 
219,बूम पाय @ThackerayOffic फ़र्ज़ हैंडल राज ठाकर के नाम बन गय 
319,किसान आंदोलन सुप्रीम कोर्ट टिपण्ण कार्टून 
53,दाव किय रह भारत के दिन पहल पंजाब के मुख्य मंत्र मुकेश अम्बा मिल 
746,आकर्षण केंद्र वो शक्तिशाल पहलवान जिनक संबंध प्रसिद्ध भोल पहलवान परिवार दारुल सेहत सब भोल अखाड़ के नाम जान 
60,पाकिस्तान के पूर्व तेज़ गेंदबाज़ शोएब अख़्तर टीम इंडिय के जीवट खेल ले तारीफ़ के पुल बांध 
163,भारत दव नियामक संस्थ के प्रमुख कह देश कोरो वैक्सीन मंज़ूर दी वो सुरक्षित 
245,ब्रिटेन यूरोपीय संघ के पोस्ट-ब्रेग़्जिट ट्रेड डील के ब्रिटेन भारत सहित दूसर देश के फ्र ट्रेड मार्ग प्रशस्त गय 
287,स्वास्थ्य मंत्र हर्षवर्धन उम्मीद जत जनवर टीकाकरण शुर सक छह टीक अभ क्लीनिकल ट्रायल चल रह 
501,विश्व स्वास्थ्य संगठन कह COVID-19 के हालिय प्रकोप के ख़िलाफ मुकाबल के मास्क पूर प्रभाव नह 
266,बाब ढाब नाम शायद सु होग छोट सा फ़ूड स्टॉल चल वाल बुज़ुर्ग रो वीडिय वायरल गय 
578,बूम पाय वीडिय 2019 मौलव टिप्पण तबरेज अंसार मॉब द्वार हत्य दी गय थी। 
338,साल 2012 निर्भय के सामूहिक बलात्कार के कानून कड़ मौत सज़ जैस प्रावधान लाए 
665,बूम पाय वास्तव तस्वीर पुलिस वकील के हज़ार कोर्ट झड़प के प्रदर्शन 
2,पाकिस्ता टीव प्रेजेंटर सैय्यद इक़रारुल हसन अप ट्वीट के कारण निश आ उन्ह देशद्रोह कह लग 
633,जरनैल सिंह भिंडरावाल स्वर्ण मंदिर निकाल योज ब्रिटिश अफ़सर सलाह ली 
601,बूम पाय घट नवंबर 2019 ब्राजील ड्रग माफिय सीविल गार्ड के झड़प थी। 
586,राजने कैस मन रोश पर्व 
675,महिल के ख़िलाफ हिंसक अपराध भारत पाकिस्तान तेज़ क़ानून सख़्त सुधार बहस 
681,भारत चीन के लद्दाख लाइन ऑफ एक्चुअल कंट्रोल एलएस पिछल महीन गंभीर विवाद बन 
141,बूम पाय वायरल दाव फ़र्ज़ तस्वीर 2014 पीएम मोद कोलक रैल है। 
113,बूम ऐस प्रमाण नह मिल डेनमार्क मुसलमान के मतदान के अधिकार रद्द पुष्ट 
703,बूम सूचीबद्ध नंबर जांच पत लग घोटाल कैस काम है। 
587,म्यांमार छोड़ के लाख रोहिंग्य जह शरण ली बार वो ख़ुद ख़तर महसूस रह 
333,बूम पाय तस्वीर हैंडओवर समारोह दक्षिण कोरिय कोरिय युद्ध लड़ वाल ची सैनिक के 
385,सेंट्रल काउंसिल ऑफ़ इंडियन मेडिसिन CCIM पोस्ट ग्रेजुएट आयुर्वेद स्टूडेंट औपचारिक ट्रेनिंग के 58 सर्जिकल प्रक्रिय अंजाम दे इजाज़त दे दी 
342,कर्नल संतोष बाब हाल भारत-चीन के लद्दाख के गल्वान घाट झड़प शहीद 
136,रविवार भारत के ड्रग रेग्यूलेटर स्वदेश वैक्सीन कोवैक्सीन आपातकालीन इस्तेमाल के मंज़ूर दे दी वो बि तीसर चरण के ट्रायल के 
535,दिल्ल दंग के अपर्याप्त रिपोर्टिंग के कारण असल जानकार लोग नह पहुंच पाईं इसक अलाव शाहरुख़ के 
581,वीडिय नाथूराम गोडस के प्रत समर्थन दिख के हिंद महासभ महात्म गांध के पुतल गोल चल 
446,बूम के खोजबीन साम आय वायरल क्लिपिंग मई 2018 
702,मुंगेर दुर्ग प्रतिम विसर्जन के गोल चल घट के चुनाव आयोग एसप डीएम पद हट 
375,जर्म 16 दिसंबर 10 जनवर लॉकडाउन होग जर्मन चांसलर कह फ़ौरन कार्रव ज़रूरत 
195,केंद्रीय शिक्ष मंत्र रमेश पोखरियाल निशंक सीबीएसई बोर्ड 10व 12व परीक्ष घोषण 
377,झारखंड दिसंबर शाम सोमार ज़िंदग सबस ख़ौफ़नाक शाम बन 
529,मूल रूप तस्वीर लड़क जिसक शव 20 फ़रवर मध्य प्रदेश के गांव बरामद किय गय था। 
479,बूम पाय वीडिय प्रोटेस्ट रैल अज़रबैज़ान पिछल साल 
435,बूम पाय होंज ऐस बयान नह दिय जबक सबूत के मुताबिक़ सार्स-सीओवी-2 प्राकृतिक वायरस है। 
204,बूम पाय वायरल स्क्रीनशॉट फ़ेक उत्तर प्रदेश सरकार के अधिकार इसक पुष्ट नह 
563,बूम पाय तस्वीर मूल रूप दिल्ल के मुखर्ज नगर जह सिख़ टेम्प ड्राइवर तलवार पुलिस हमल किय 
101,कृष कानून विरोध रह किसान हंगाम हरियाण के मुख्यमंत्र रैल रद्द 
728,मैनपुर पुलिस बूम बत झगड़ ठाकुर समूह इसम दलित शामिल नह 
260,बूम पाय वायरल क्लिप वर्तमान नह बल्क़ 2019 दिसंबर फ़िल्म गय नागरिक संशोधन अधिनियम 2019 के 
31,आम आदम पार्ट बिधूड़ वीडिय क्लिप शेयर किय इसक वास्तविक लेख 
477,ब्रिता किल महफ़ूज़ टीप सुल्तान याद 
348,पिंक के पत जेठ हिरासत रख गय हालात गर्भपात के आरोप लग काफ़ संगीन 
376,एंटोनिय गुटरेश कह अप संसाधन ख़र्च नह सक जिसस अगल पीढ़ बिखर धर बोझ पड़ 
726,बूम पाय तस्वीर वास्तविक रूप ग्यारह साल पहल ली गय दिल्ल के फ़िरोज़ शाह कोटल मस्जिद 
572,मोद द्वार उद्धृत अब्दुल्ल काल्पनिक बयान व्यंग्य वेबसाइट फ़ेकिंग न्यूज़ है। 
665,क्य बाइडन रुख वाक़ई चीन ले नरम वो राष्ट्रपत बन क्य ट्रंप चीन के कारोबार अधिक टैक्स लग सक 
361,बूम पाय वायरल तस्वीर एडिट गय असल तस्वीर 2016 वॉशिंगटन विरोध के ली गय 
18,दाव अमित शाह राम मंदिर ना बन कह रह नरेंद्र मोद मुसलमान किसान मार दाव रह 
414,रतन टाट द्वार व्यापार के नाम संदेश फ़र्ज़ है। बात पुष्ट टाट ट्विटर 
319,न्यूज़ संस्थान आईएएनएस द्वार रिपोर्ट प्रकाशित किय लिख सुशांत सिंह राजपूत के पि ट्विटर 
657,मायाव कह समाजवाद पार्ट हर के ज़रूरत पड़ उनक पार्ट बीजेप समर्थन सक 
555,एनपीआर राष्ट्रीय नागरिक रजिस्टर एनआरस पूर दिश पहल क़दम मा गय के अख़बार सुर्ख 
89,एबीप न्यूज़ बुलेटिन के स्क्रीनशॉट ब्रेकिंग न्यूज़ टेम्पलेट संबित पात्र असंबंधित तस्वीर उपयोग करक 
596,स्टैंड अप कॉमेडियन कुणाल कामर कह वो सुप्रीम कोर्ट कथित अवमान वाल ट्वीट्स न माफ़ माँग न अप शब्द वापस लेंग 
484,गुर परब के अवसर नज़र गुर नानक के जीवन अहम बात नानक 11 साल उम्र विद्रोह बन 
124,मुग़ल सल्तनत के संस्थापक बाबर 1483-1530 जह विजे के रूप देख वर्णित किय दूसर ओर उन्ह बड़ कलाकार लेखक मा 
638,किरण बेद प्रवर्धित वीडिय शेयर किय नास द्वार शेयर वीडिय अलग है। 
301,1971 लड़ 49व बरस पढ़ अमरीक भारत डर कोशिश भारत क्य किय 
82,बूम पाय वायरल वीडिय तत्कालीन अर्जेंटी के राष्ट्रपत मारिसिय मैक्र चुनाव प्रचार दिख गय है। 
175,बूम पाय वास्तविक फ़ोट अंतिम संस्कार के दृश्य नह 
457,भारत ऑस्ट्रेलिय टी20 मैच युज़वेंद्र चहल टीम हिस्स ना मैन ऑफ़ द मैच कैस बन जान मैच पूर रोमांच वीडिय 
315,अमेरिक के प्रेसीडेंट इलेक्ट बाइडन शु्क्रवार व्हाइट हाउस के संचार प्रेस स्टाफ़ के 16 अतिरिक्त सदस्य घोषण 
332,प्रधानमंत्र नरेंद्र मोद नई दिल्ल स्थित नेशनल वॉर मेमोरियल पहुंच 1971 युद्ध हिस्स ले वाल जवान श्रद्धांजल दी 
561,ईपीएफ़ओ पंजीकृत कंपन संख्य भार गिरावट पढ़ क्य ख़ास छप के अख़बार 
540,कमल सिंह बैल डांस सीख ले जुनून सीख के उनक पास पैस नह 
197,भार ब्याज दर लोग ज़िंदग नरक बन वाल लोन एप्स क्य इनक पीछ चीन भूमिक 
86,ऑस्ट्रेलिय कप्तान टिम पेन रविचंद्रन अश्विन अपमान किय तीन कैच गिर इसक भारत असंभव लग रह टेस्ट मैच ड्रॉ जिसस मैच पेन के करियर सबस बुर याद बन गय 
729,तस्वीर वेबसाइट के माध्यम बन जिसम समाचार बुलेटिन नकल स्क्रीनशॉट बन गय 
356,बजरंग दल ख़तरनाक संगठन शामिल मांग जून दिल्ल के चर्च हमल के उठ अख़बार समीक्ष 
0,भारत ऑस्ट्रेलिय टेस्ट सिरीज़ ऐतिहासिक जीत दर्ज चौथ निर्णायक मैच नौजवान गेंदबाज़ मोहम्मद सिराज अहम भूमिक निभ 
184,विदेश राजनयिक कह रह चीन ओल के क़दम हैरान सीनियर यूरोपियन डिप्लोमैट कह महामार के प्रधानमंत्र ओल के क़दम चीन नाराज़ 
360,छत्तीसगढ़ दिन राज्य महिल आयोग अध्यक्ष के बयान सियास गलियार बहस शुर 
642,बूम आजतक पत्रकार बात बयान ख़ारिज किय 
615,फ़र्ज़ वीडिय पोस्ट पाकिस्ता अभिनेत्र महविश हयात ट्विटर इन्फ्लुएंसर तारेक फ़तेह खिंच 
159,तस्वीर 2012 भेदभाव विरोध कैंपेन फ़ोटोशॉप सांप्रदायिक फ़र्ज़ सूच फ़ैल के इस्तेमाल किय 
316,ब्रिटेन के विदेश मंत्र डोमिनिक रॉब भारत दौर आए प्रधानमंत्र नरेंद्र मोद विदेश मंत्र एसजयशं मुलाकात मौक बीबीस उनस मुद्द विस्तार बात 
364,बूम पाय वायरल वीडिय दिल्ल नह बल्क मुंबई के किंग एड्वर्ड मेमोरीयल हॉस्पिटल 
152,बूम बात नीट टॉपर आकांक्ष सिंह के पि विवादित ट्वीट ट्विटर हैंडल फ़र्ज़ बत 
477,लेख आर / नोस्लीप नाम के रेड्डिट फोरम लिय गय जह लोग जीवन घट प्रेरित काल्पनिक कहान पोस्ट 
14,दाव पाकिस्तान उपद्रव द्वार मंदिर तोड़ मुसलमान प्रदर्शन रह 
535,इसक वजह नेटफ़्लिक्स के शो अ सूटेबल बॉय के दृश्य आपत्त जत रह 
456,बूम पड़ताल साम आय वायरल वीडिय हाजीपुर पुलिस द्वार किय मॉक ड्रिल 
187,बूम पाय हफ़िंगटन पोस्ट के लेख गांध नाम सूच शामिल खेद जत हट दिय गय 
759,एनआईए 83 साल के फ़ादर स्टेन स्वाम गिरफ़्तार यूएपीए धाराएँ लग 
223,बूम बुलढाण पुलिस बत वायरल तस्वीर महिल दिवस के अवसर दिन के डीएसप बन गय स्कूल छात्र 
182,नेपाल के हालिय संकट चीन के झटक भारत जीत के तौर क्य देख रह भारतीय मीडिय ओल चीन समर्थक कह क्य वो भारत के पक्ष आ 
487,बूम पाय तस्वीर 2019 के आर्ट संबंधित बड़ पैम वाल शार्क हत्य के संबंध 
339,कोरो वायरस निपट के देश टीकाकरण शुर किय जाएग मामल प्रतिकूल असर होग 
254,बूम पत्रकार मुबश्शिर मुश्ताक़ बात तस्वीर ली वायरल तस्वीर फ़र्ज़ एडिटेड बत 
687,बूम पाय वीडिय नवंबर 2017 झारखंड पुलिस द्वार आयोजित मॉक ड्रिल है। 
494,वायरल वीडिय के दाव किय गय कोरोनावायरस के डर चीन लाख तादाद लोग इस्लाम क़ुबूल किय बूम 
269,पाकिस्तान चीन दोस् शुरुआ दौर रुकावट आईं दोन देश के रिश्त गर्मजोश जगज़ाहिर कैस पड़ बुनियाद 
122,बूम पाय वास्तविक कार्टून 2014 जिसपर शाहीन बाग़ शब्द अलग जोड़ गय 
326,पिछल मही 23 जून प्रेस कांफ्रेंस रामदेव कह केवल कण्ट्रोल नह क्योर 
418,ख़बर केंद्रीय गृहमंत्र अमित शाह किसान मुलाक़ात के बुल 
4,मीडिय आउटलेट्स वायर एजेंस गलत तरीक दाव किय पाकिस्तान के पूर्व राजनयिक बालाकोट मौत 
303,बूम पाय तस्वीर 2012 इंटरनेट मौजूद रशियन वेबसाइट पोस्ट गय 
549,कंप न ची न आधिकारिक पैकेजिंग टैबलेट मिल है। 
506,बूम पाय वायरल वीडिय फिल्म अभिने सन देओल फिल्म ब्लैंक 2019 रिलीज़ थी। 
435,सवाल उठ रह क्य आरबीआई भारतीय बैंकिंग सेक्टर निगरा पर्याप्त रूप सक्षम नह 
52,बूम पाय वायरल क्लिप अक्टूबर 2015 कश्मीर सिख द्वार पंजाब उनक धर्मग्रंथ के अपमान के ख़िलाफ़ विरोध 
347,बूम पड़ताल पाय तस्वीर दरअसल सरकार नीत के ख़िलाफ़ प्रदर्शन जिसक द्वार सीताराम येचुर बृंद 
191,बूम पाय वायरल पोस्ट शाहरुख़ टीशर्ट लिख वोट फ़ॉर एमआईएम फ़ोटोशॉप करक जोड़ गय 
337,आज़ाद के भारत के गणतंत्र दिवस बोरिस जॉनसन मुख्य अतिथ बन वाल दूसर ब्रिटिश प्रधानमंत्र होंग इसस पहल 1993 जॉन मेजर अतिथ बन गय 
298,बूम पाय घट 2017 वीडिय के वायरल के उत्तर प्रदेश पुलिस गिरफ्तार 
219,दोन पक्ष आठ स्तर सैन्य वार् चुक सीम मुद्द सुलझ प्रगत नह दिख भारत के पास क्य विकल्प 
210,नागौर आरएलप के इकलौ सांसद हनुमान बेनीवाल जयपुर-दिल्ल हाइव किसान के प्रदर्शन पहुंच चर्च रह किसान उनक पढ़ क्य पूर मामल 
35,रामपुर सहसवान घर ताल्लुक रख वाल शास्त्रीय संगीतकार उस्ताद ग़ुलाम मुस्तफ़ ख़ान 89 वर्ष उम्र निधन गय 
696,भारत कोरो वायरस वैक्सीन बन ले कोशिश जार इनम वैक्सीन के तीसर चरण मंज़ूर मिल 
442,बूम बातचीत दिल्ल पुलिस साफ़ किय अज़ान रोक नह लग बल्क सिर्फ मस्जिद धार्मिक स्थल 
521,अहमद पटेल के बार कह सोनिय गांध मान थीं वो एकमात्र अमित शाह पूर बीजेप बराबर सक्षम 
530,वित्त राज्य मंत्र संवादद सम्मेलन झूठ दाव किय ऐस नार कभ नह लग था। 
726,अधिकार के मुताबिक़ दमकल 10 गाड़ घटनास्थल मौजूद जह इमारत के फँस लोग बच आग बुझ कोशिश रह 
684,जानकार कह रह सर्द बढ़ के भारत कोरो वायरस ख़तर बढ़ सक क्य डबल ख़तर बच तैयार रह 
182,बूम वीट बलराम प्रदर्शन घायल प्रोटेस्टर बात बत तस्वीर किसान प्रदर्शन नह 
570,ट्रंप मोद मौक़ एक-दूसर अप दोस्त बत चुक 
513,संविधान दिवस कार्टून 
420,वीडिय दरअसल फ़रवर 3 रिकॉर्ड किय गय कपूर दिल्ल के हॉस्पिटल इलाज के भर् 
560,कारण मोद सरकार पिछल साल नवंबर द रीजनल कॉम्प्रीहेंसिव इकोनॉमिक पार्टनरशिप आरसीईप वार् एलान किय - वो फ़ैसल सह नह 
390,बूम पत लग वायरल वीडिय जुल 2016 इसक बांग्लादेश के आसार ज़्याद 
202,बूम पाय पिछल दिसंबर शिव के लोग व्यक्त मुख्यमंत्र उद्धव ठाकर के ख़िलाफ़ फ़ेसबुक कमेंट 
353,वायरल पोस्ट दाव सुप्रीम कोर्ट आदेश दिय जून 15 देश नाम इंडिय बदल भारत दिय जाएग 
