,0
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,1
388,0
389,0
390,1
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,1
424,0
425,0
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,0
